0,1,2,3,4
Darkside Blues,Akikan!,Steamboy,Major S2,Major 2nd (TV)
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,Sankarea,Seitokai Yakuindomo,Seitokai Yakuindomo Movie,Yakusoku (ONA)
Madang-eul Naon Amtalg,Kono Oto Tomare!,K-On!,Kitakubu Katsudou Kiroku,Miyuki
Aa! Megami-sama!: Sorezore no Tsubasa Specials,Cike Wu Liuqi,Mushoku Tensei: Isekai Ittara Honki Dasu,Bakutou Sengen Daigunder,Momoya x Peeping Life: Go en Desu yo! II
Natsume Yuujinchou Shi,Zoku Natsume Yuujinchou,Cike Wu Liuqi,School Days,Natsume Yuujinchou
.hack//Unison,Mahouka Koukou no Rettousei: Raihousha-hen,Poputepipikku Kinen,Birth,Toaru Majutsu no Index-tan III
Mushoku Tensei: Isekai Ittara Honki Dasu,Cike Wu Liuqi,Shokugeki no Souma,Tenshi no 3P!,Myself; Yourself
Gintama': Enchousen,Gintama,Eikoku Koi Monogatari Emma,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Sasameki Koto
"Okoshiyasu, Chitose-chan",Cike Wu Liuqi,Major S1,Fujiko Fujio A no Mumako,Bakutou Sengen Daigunder
Houseki no Kuni,Cardfight!! Vanguard G: Next,Joker Game,Magic Kaito 1412,Love Live! x Watering KissMint Collaboration CM
Hunter x Hunter (2011),Yume Senshi Wingman,Chouon Senshi Borgman: Lovers Rain,Digimon Adventure 3D: Digimon Grand Prix!,Vampire Hunter D (2000)
School Days,Myself; Yourself,Kiss Dum: Engage Planet,Bamboo Bears,Tenshi no 3P!
Cike Wu Liuqi,Mushoku Tensei: Isekai Ittara Honki Dasu,Nisemonogatari,Tsubasa to Hotaru,Nekomonogatari: Kuro
Haikyuu!! Movie 3: Sainou to Sense,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,Detective Conan Movie 23: The Fist of Blue Sapphire,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,Yuru Yuri Nachuyachumi!+
Non Non Biyori Repeat,Green Green,D4DJ Petit Mix,Alexander Senki Movie,Non Non Biyori
Shingeki no Kyojin Season 3,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Shingeki no Kyojin OVA,Papa to Odorou,Kaitou Tenshi Twin Angel: Kyun Kyun☆Tokimeki Paradise!!
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Violet Evergarden,Violet Evergarden Movie,Chiisana Jumbo,Nowisee
Granblue Fantasy The Animation Season 2,Suki ni Naru Sono Shunkan wo.: Kokuhaku Jikkou Iinkai,Houkago Teibou Nisshi,Ling Long: Incarnation Middle Chapter,Cyborg 009: Call of Justice 3
Bakuman. 3rd Season,Kami nomi zo Shiru Sekai II,Kimi ni Todoke,Yes! Precure 5 GoGo! Movie: Okashi no Kuni no Happy Birthday,Saint Seiya: The Lost Canvas - Meiou Shinwa 2
Cowboy Bebop,Feng Wei Ying Xiong,Pop in Q Dance MV,Cardfight!! Vanguard: Shinemon-hen,Grendizer: Getter Robo G - Great Mazinger Kessen! Daikaijuu
Douluo Dalu: Hao Tian Yang Wei,Douluo Dalu: Qian Hua Xi Jin,Douluo Dalu: Jingying Sai,Douluo Dalu: Xingdou Xian Ji Pian,Douluo Dalu: Hanhai Qian Kun
Hellsing,Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka?,Biohazard: Vendetta,Bakutou Sengen Daigunder,Mokei Senshi Gunpla Builders Beginning G
Chain Chronicle: Haecceitas no Hikari Part 1,Mushrambo,Super Seisyun Brothers,Turn A Gundam,No Game No Life: Zero
